model_name,num_epochs,strategy,learning_rate,weight_decay,batch_size,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
bert-base-uncased,10,epoch,2e-05,0.01,32,0.907958984375,0.8069651741293532,0.7874762808349146,0.8350100603621731,0.810546875,0.7542,1332.565,42.43,7.0
bert-base-uncased,10,epoch,2e-05,0.01,64,0.4217778742313385,0.8059701492537313,0.7984189723320159,0.8128772635814889,0.8055832502492523,0.5768,1742.255,27.737,4.0
bert-base-uncased,10,epoch,2e-05,0.001,16,0.6348307132720947,0.8039800995024876,0.7884615384615384,0.8249496981891348,0.8062930186823992,1.1882,845.791,53.02,5.0
bert-base-uncased,10,epoch,2e-05,0.001,32,0.4908912479877472,0.7701492537313432,0.7180327868852459,0.8812877263581489,0.7913279132791328,0.7835,1282.676,40.841,3.0
bert-base-uncased,10,epoch,2e-05,0.001,64,0.543479859828949,0.8079601990049752,0.7724014336917563,0.8672032193158954,0.8170616113744076,0.5751,1747.581,27.822,7.0
bert-base-uncased,10,epoch,1e-05,0.0,16,0.4628632664680481,0.7870646766169154,0.7625231910946196,0.8269617706237424,0.7934362934362934,1.1886,845.513,53.002,3.0
bert-base-uncased,10,epoch,1e-05,0.0,32,0.47985658049583435,0.8129353233830846,0.805940594059406,0.8189134808853119,0.812375249500998,0.7512,1337.839,42.598,7.0
bert-base-uncased,10,epoch,1e-05,0.0,64,0.4430784285068512,0.8,0.7901960784313725,0.8108651911468813,0.8003972194637538,0.562,1788.177,28.468,6.0
bert-base-uncased,10,epoch,1e-05,0.01,16,1.009299874305725,0.808955223880597,0.8105906313645621,0.8008048289738431,0.805668016194332,1.2155,826.844,51.832,10.0
bert-base-uncased,10,epoch,1e-05,0.01,32,0.5635038018226624,0.7233830845771144,0.6687211093990755,0.8732394366197183,0.7574171029668412,0.7889,1273.998,40.565,3.0
bert-base-uncased,10,epoch,1e-05,0.01,64,0.465803861618042,0.7900497512437811,0.7657992565055762,0.8289738430583501,0.7961352657004831,0.6015,1670.787,26.6,5.0
bert-base-uncased,10,epoch,1e-05,0.001,16,0.5562569499015808,0.7990049751243781,0.7991886409736308,0.7927565392354124,0.795959595959596,1.2057,833.508,52.25,6.0
bert-base-uncased,10,epoch,1e-05,0.001,32,0.6347429156303406,0.8029850746268656,0.7858508604206501,0.8269617706237424,0.8058823529411765,0.8473,1186.051,37.765,9.0
bert-base-uncased,10,epoch,1e-05,0.001,64,0.46716180443763733,0.7900497512437811,0.7628676470588235,0.8350100603621731,0.7973102785782901,0.584,1721.01,27.399,6.0
bert-base-uncased,10,epoch,0.0001,0.0,16,0.8786361813545227,0.7820895522388059,0.7527272727272727,0.8329979879275654,0.7908309455587392,1.1633,863.902,54.155,7.0
bert-base-uncased,10,epoch,0.0001,0.0,32,0.43087345361709595,0.8009950248756219,0.8292682926829268,0.7525150905432596,0.7890295358649789,0.7577,1326.45,42.235,3.0
